Año,Ganador AO,Nacionalidad AO,Ganador RG,Nacionalidad RG,Ganador WB,Nacionalidad WB,Ganador USO,Nacionalidad USO
1993,Jim Courier (4/4),Estados Unidos,Sergi Bruguera (1/2),España,Pete Sampras (2/14),Estados Unidos,Pete Sampras (3/14),Estados Unidos
1994,Pete Sampras (4/14),Estados Unidos,Sergi Bruguera (2/2),España,Pete Sampras (5/14),Estados Unidos,Andre Agassi (2/8),Estados Unidos
1995,Andre Agassi (3/8),Estados Unidos,Thomas Muster (1/1),Austria,Pete Sampras (6/14),Estados Unidos,Pete Sampras (7/14),Estados Unidos
1996,Boris Becker (6/6),Alemania,Yevgeny Kafelnikov (1/2),Rusia,Richard Krajicek (1/1),los Países Bajos,Pete Sampras (8/14),Estados Unidos
1997,Pete Sampras (9/14),Estados Unidos,Gustavo Kuerten (1/3),Brasil,Pete Sampras (10/14),Estados Unidos,Patrick Rafter (1/2),Australia
1998,Petr Korda (1/1),República Checa,Carlos Moyá (1/1),España,Pete Sampras (11/14),Estados Unidos,Patrick Rafter (2/2),Australia
1999,Yevgeny Kafelnikov (2/2),Rusia,Andre Agassi (4/8),Estados Unidos,Pete Sampras (12/14),Estados Unidos,Andre Agassi (5/8),Estados Unidos
2000,Andre Agassi (6/8),Estados Unidos,Gustavo Kuerten (2/3),Brasil,Pete Sampras (13/14),Estados Unidos,Marat Safin (1/2),Rusia
2001,Andre Agassi (7/8),Estados Unidos,Gustavo Kuerten (3/3),Brasil,Goran Ivanišević (1/1),Croacia,Lleyton Hewitt (1/2),Australia
2002,Thomas Johansson (1/1),Suecia,Albert Costa (1/1),España,Lleyton Hewitt (2/2),Australia,Pete Sampras (14/14),Estados Unidos
2003,Andre Agassi (8/8),Estados Unidos,Juan Carlos Ferrero (1/1),España,Roger Federer (1/20),Suiza,Andy Roddick (1/1),Estados Unidos
2004,Roger Federer (2/20),Suiza,Gastón Gaudio (1/1),Argentina,Roger Federer (3/20),Suiza,Roger Federer (4/20),Suiza
2005,Marat Safin (2/2),Rusia,Rafael Nadal (1/22),España,Roger Federer (5/20),Suiza,Roger Federer (6/20),Suiza
2006,Roger Federer (7/20),Suiza,Rafael Nadal (2/22),España,Roger Federer (8/20),Suiza,Roger Federer (9/20),Suiza
2007,Roger Federer (10/20),Suiza,Rafael Nadal (3/22),España,Roger Federer (11/20),Suiza,Roger Federer (12/20),Suiza
2008,Novak Djokovic (1/24),Serbia,Rafael Nadal (4/22),España,Rafael Nadal (5/22),España,Roger Federer (13/20),Suiza
2009,Rafael Nadal (6/22),España,Roger Federer (14/20),Suiza,Roger Federer (15/20),Suiza,Juan Martín del Potro (1/1),Argentina
2010,Roger Federer (16/20),Suiza,Rafael Nadal (7/22),España,Rafael Nadal (8/22),España,Rafael Nadal (9/22),España
2011,Novak Djokovic (2/24),Serbia,Rafael Nadal (10/22),España,Novak Djokovic (3/24),Serbia,Novak Djokovic (4/24),Serbia
2012,Novak Djokovic (5/24),Serbia,Rafael Nadal (11/22),España,Roger Federer (17/20),Suiza,Andy Murray (1/3),Reino Unido
2013,Novak Djokovic (6/24),Serbia,Rafael Nadal (12/22),España,Andy Murray (2/3),Reino Unido,Rafael Nadal (13/22),España
2014,Stanislas Wawrinka (1/3),Suiza,Rafael Nadal (14/22),España,Novak Djokovic (7/24),Serbia,Marin Čilić (1/1),Croacia
2015,Novak Djokovic (8/24),Serbia,Stanislas Wawrinka (2/3),Suiza,Novak Djokovic (9/24),Serbia,Novak Djokovic (10/24),Serbia
2016,Novak Djokovic (11/24),Serbia,Novak Djokovic (12/24),Serbia,Andy Murray (3/3),Reino Unido,Stanislas Wawrinka (3/3),Suiza
2017,Roger Federer (18/20),Suiza,Rafael Nadal (15/22),España,Roger Federer (19/20),Suiza,Rafael Nadal (16/22),España
2018,Roger Federer (20/20),Suiza,Rafael Nadal (17/22),España,Novak Djokovic (13/24),Serbia,Novak Djokovic (14/24),Serbia
2019,Novak Djokovic (15/24),Serbia,Rafael Nadal (18/22),España,Novak Djokovic (16/24),Serbia,Rafael Nadal (19/22),España
2020,Novak Djokovic (17/24),Serbia,Rafael Nadal (20/22),España,cancelado por COVID-19,cancelado por COVID-19,Dominic Thiem (1/1),Austria
2021,Novak Djokovic (18/24),Serbia,Novak Djokovic (19/24),Serbia,Novak Djokovic (20/24),Serbia,Daniil Medvédev (1/1),Rusia
2022,Rafael Nadal (21/22),España,Rafael Nadal (22/22),España,Novak Djokovic (21/24),Serbia,Carlos Alcaraz (1/2),España
2023,Novak Djokovic (22/24),Serbia,Novak Djokovic (23/24),Serbia,Carlos Alcaraz (2/2),España,Novak Djokovic (24/24),Serbia
2024,Jannik Sinner (1/1),Italia,,,,,,
